vi	V(n003)	I(Rc)	I(Rb)
3.119999999999977e+00	6.923039e-01	7.430702e-03	2.427696e-05
3.129999999999977e+00	6.924233e-01	7.458962e-03	2.437577e-05
3.139999999999977e+00	6.925423e-01	7.487209e-03	2.447458e-05
3.149999999999977e+00	6.926609e-01	7.515442e-03	2.457339e-05
3.159999999999977e+00	6.927791e-01	7.543662e-03	2.467221e-05
3.169999999999976e+00	6.928968e-01	7.571869e-03	2.477103e-05
3.179999999999976e+00	6.930141e-01	7.600062e-03	2.486986e-05
3.189999999999976e+00	6.931310e-01	7.628242e-03	2.496869e-05
3.199999999999976e+00	6.932476e-01	7.656408e-03	2.506752e-05
3.209999999999976e+00	6.933637e-01	7.684561e-03	2.516636e-05
3.219999999999975e+00	6.934793e-01	7.712701e-03	2.526521e-05
3.229999999999975e+00	6.935946e-01	7.740827e-03	2.536405e-05
3.239999999999975e+00	6.937095e-01	7.768940e-03	2.546290e-05
3.249999999999975e+00	6.938240e-01	7.797040e-03	2.556176e-05
3.259999999999974e+00	6.939381e-01	7.825126e-03	2.566062e-05
3.269999999999974e+00	6.940518e-01	7.853199e-03	2.575948e-05
3.279999999999974e+00	6.941651e-01	7.881259e-03	2.585835e-05
3.289999999999974e+00	6.942781e-01	7.909304e-03	2.595722e-05
3.299999999999974e+00	6.943906e-01	7.937337e-03	2.605609e-05
3.309999999999973e+00	6.945028e-01	7.965357e-03	2.615497e-05
3.319999999999973e+00	6.946145e-01	7.993364e-03	2.625385e-05
3.329999999999973e+00	6.947260e-01	8.021357e-03	2.635274e-05
3.339999999999973e+00	6.948370e-01	8.049336e-03	2.645163e-05
3.349999999999973e+00	6.949477e-01	8.077302e-03	2.655052e-05
3.359999999999972e+00	6.950580e-01	8.105256e-03	2.664942e-05
3.369999999999972e+00	6.951680e-01	8.133195e-03	2.674832e-05
3.379999999999972e+00	6.952776e-01	8.161122e-03	2.684722e-05
3.389999999999972e+00	6.953868e-01	8.189036e-03	2.694613e-05
3.399999999999971e+00	6.954957e-01	8.216935e-03	2.704504e-05
3.409999999999971e+00	6.956043e-01	8.244822e-03	2.714396e-05
3.419999999999971e+00	6.957124e-01	8.272695e-03	2.724288e-05
3.429999999999971e+00	6.958203e-01	8.300556e-03	2.734180e-05
3.439999999999971e+00	6.959278e-01	8.328403e-03	2.744072e-05
3.449999999999970e+00	6.960349e-01	8.356237e-03	2.753965e-05
3.459999999999970e+00	6.961417e-01	8.384057e-03	2.763858e-05
3.469999999999970e+00	6.962482e-01	8.411865e-03	2.773752e-05
3.479999999999970e+00	6.963543e-01	8.439659e-03	2.783646e-05
3.489999999999970e+00	6.964601e-01	8.467440e-03	2.793540e-05
3.499999999999969e+00	6.965656e-01	8.495208e-03	2.803434e-05
3.509999999999969e+00	6.966708e-01	8.522963e-03	2.813329e-05
3.519999999999969e+00	6.967756e-01	8.550704e-03	2.823224e-05
3.529999999999969e+00	6.968801e-01	8.578433e-03	2.833120e-05
3.539999999999969e+00	6.969842e-01	8.606148e-03	2.843016e-05
3.549999999999968e+00	6.970881e-01	8.633850e-03	2.852912e-05
3.559999999999968e+00	6.971917e-01	8.661539e-03	2.862808e-05
3.569999999999968e+00	6.972948e-01	8.689214e-03	2.872705e-05
3.579999999999968e+00	6.973978e-01	8.716878e-03	2.882602e-05
3.589999999999967e+00	6.975003e-01	8.744527e-03	2.892500e-05
3.599999999999967e+00	6.976026e-01	8.772164e-03	2.902397e-05
3.609999999999967e+00	6.977046e-01	8.799787e-03	2.912295e-05
3.619999999999967e+00	6.978063e-01	8.827398e-03	2.922194e-05
3.629999999999967e+00	6.979077e-01	8.854995e-03	2.932092e-05
3.639999999999966e+00	6.980087e-01	8.882578e-03	2.941991e-05
3.649999999999966e+00	6.981095e-01	8.910149e-03	2.951891e-05
3.659999999999966e+00	6.982099e-01	8.937708e-03	2.961790e-05
3.669999999999966e+00	6.983101e-01	8.965253e-03	2.971690e-05
